Fecha,US3MTBR
7/9/2020,0.00134
7/10/2020,0.00132
7/13/2020,0.00137
7/14/2020,0.00145
7/15/2020,0.00137
7/16/2020,0.00114
7/17/2020,0.00117
7/20/2020,0.00117
7/21/2020,0.00124
7/22/2020,0.00122
7/23/2020,0.00117
7/24/2020,0.00109
7/27/2020,0.00104
7/28/2020,0.00109
7/29/2020,0.00101
7/30/2020,0.00096
7/31/2020,0.00094
8/3/2020,0.00089
8/4/2020,0.00099
8/5/2020,0.00101
8/6/2020,0.00099
8/7/2020,0.00099
8/10/2020,0.00099
8/11/2020,0.00112
8/12/2020,0.00106
8/13/2020,0.00099
8/14/2020,0.00099
8/17/2020,0.00094
8/18/2020,0.00106
8/19/2020,0.00101
8/20/2020,0.00096
8/21/2020,0.00096
8/24/2020,0.00094
8/25/2020,0.00101
8/26/2020,0.00099
8/27/2020,0.00101
8/28/2020,0.00104
8/31/2020,0.00106
9/1/2020,0.00106
9/2/2020,0.00106
9/3/2020,0.00106
9/4/2020,0.00112
9/8/2020,0.00119
9/9/2020,0.00112
9/10/2020,0.00114
9/11/2020,0.00112
9/14/2020,0.00109
9/15/2020,0.00112
9/16/2020,0.00112
9/17/2020,0.00094
9/18/2020,0.00091
9/21/2020,0.00086
9/22/2020,0.00099
9/23/2020,0.00099
9/24/2020,0.00099
9/25/2020,0.00101
9/28/2020,0.00094
9/29/2020,0.00096
9/30/2020,0.00096
10/1/2020,0.00091
10/2/2020,0.00091
10/5/2020,0.00096
10/6/2020,0.00099
10/7/2020,0.00099
10/8/2020,0.00096
10/9/2020,0.00101
10/12/2020,0.00101
10/13/2020,0.00099
10/14/2020,0.00106
10/15/2020,0.00104
10/16/2020,0.00096
10/19/2020,0.00096
10/20/2020,0.00101
10/21/2020,0.00096
10/22/2020,0.00091
10/23/2020,0.00094
10/26/2020,0.00089
10/27/2020,0.00096
10/28/2020,0.00096
10/29/2020,0.00094
10/30/2020,0.00094
11/2/2020,0.00091
11/3/2020,0.00096
11/4/2020,0.00094
11/5/2020,0.00091
11/6/2020,0.00094
11/9/2020,0.00096
11/10/2020,0.00096
11/11/2020,0.00096
11/12/2020,0.00091
11/13/2020,0.00091
11/16/2020,0.00084
11/17/2020,0.00086
11/18/2020,0.00086
11/19/2020,0.00066
11/20/2020,0.00068
11/23/2020,0.00076
11/24/2020,0.00086
11/25/2020,0.00086
11/27/2020,0.00081
11/30/2020,0.00081
12/1/2020,0.00086
12/2/2020,0.00081
12/3/2020,0.00081
12/4/2020,0.00081
12/7/2020,0.00076
12/8/2020,0.00079
12/9/2020,0.00076
12/10/2020,0.00079
12/11/2020,0.00071
12/14/2020,0.00071
12/15/2020,0.00076
12/16/2020,0.00081
12/17/2020,0.00086
12/18/2020,0.00086
12/21/2020,0.00089
12/22/2020,0.00089
12/23/2020,0.00086
12/24/2020,0.00089
12/28/2020,0.00094
12/29/2020,0.00096
12/30/2020,0.00081
12/31/2020,0.00079
1/4/2021,0.00079
1/5/2021,0.00084
1/6/2021,0.00089
1/7/2021,0.00086
1/8/2021,0.00086
1/11/2021,0.00086
1/12/2021,0.00086
1/13/2021,0.00086
1/14/2021,0.00081
1/15/2021,0.00081
1/19/2021,0.00089
1/20/2021,0.00081
1/21/2021,0.00081
1/22/2021,0.00079
1/25/2021,0.00076
1/26/2021,0.00079
1/27/2021,0.00071
1/28/2021,0.00063
1/29/2021,0.00058
2/1/2021,0.00056
2/2/2021,0.00056
2/3/2021,0.00046
2/4/2021,0.00038
2/5/2021,0.00033
2/8/2021,0.0003
2/9/2021,0.00041
2/10/2021,0.00041
2/11/2021,0.00041
2/12/2021,0.00041
2/16/2021,0.00041
2/17/2021,0.00041
2/18/2021,0.00038
2/19/2021,0.00033
2/22/2021,0.0003
2/23/2021,0.00033
2/24/2021,0.00033
2/25/2021,0.00043
2/26/2021,0.00041
3/1/2021,0.00035
3/2/2021,0.00041
3/3/2021,0.00041
3/4/2021,0.00038
3/5/2021,0.00038
3/8/2021,0.00041
3/9/2021,0.00041
3/10/2021,0.00041
3/11/2021,0.00038
3/12/2021,0.0003
3/15/2021,0.00025
3/16/2021,0.00018
3/17/2021,0.00018
3/18/2021,0.00015
3/19/2021,0.0001
3/22/2021,0.0001
3/23/2021,0.00015
3/24/2021,0.0002
3/25/2021,0.0002
3/26/2021,0.0002
3/29/2021,0.00015
3/30/2021,0.00023
3/31/2021,0.00023
4/1/2021,0.00018
4/5/2021,0.0002
4/6/2021,0.0002
4/7/2021,0.00015
4/8/2021,0.00015
4/9/2021,0.00013
4/12/2021,0.00018
4/13/2021,0.0002
4/14/2021,0.0002
4/15/2021,0.00015
4/16/2021,0.00018
4/19/2021,0.0002
4/20/2021,0.00025
4/21/2021,0.00023
4/22/2021,0.0002
4/23/2021,0.0002
4/26/2021,0.00015
4/27/2021,0.00015
4/28/2021,0.00018
4/29/2021,0.00013
4/30/2021,0.00013
5/3/2021,0.00015
5/4/2021,0.00015
5/5/2021,0.00018
5/6/2021,0.00015
5/7/2021,0.00015
5/10/2021,0.0001
5/11/2021,0.00015
5/12/2021,0.00015
5/13/2021,0.00013
5/14/2021,0.0001
5/17/2021,0.0001
5/18/2021,0.00015
5/19/2021,0.00015
5/20/2021,0.00008
5/21/2021,0.00005
5/24/2021,0.0001
5/25/2021,0.00015
5/26/2021,0.0001
5/27/2021,0.0001
5/28/2021,0.00013
6/1/2021,0.00015
6/2/2021,0.0002
6/3/2021,0.0002
6/4/2021,0.0002
6/7/2021,0.00025
6/8/2021,0.00025
6/9/2021,0.00025
6/10/2021,0.00025
6/11/2021,0.00028
6/14/2021,0.00025
6/15/2021,0.00025
6/16/2021,0.00048
6/17/2021,0.00038
6/18/2021,0.00041
6/21/2021,0.00041
6/22/2021,0.00043
6/23/2021,0.00046
6/24/2021,0.00053
6/25/2021,0.00053
6/28/2021,0.00051
6/29/2021,0.00051
6/30/2021,0.00046
7/1/2021,0.00048
